Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Mauritius,2.516091281,2.932363014,6.522492549,3.852160333,3.543295739,3.21769192,1.286549708,0.977675135
Malawi,8.422044277,7.411590929,7.622822628,21.271265,27.28333333,23.79206495,21.86734755,21.71111321
Malaysia,0.583308406,1.622852356,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595
North America,-0.028039732,1.708457492,3.034488329,1.792507748,1.201562277,1.764429442,0.621934248,1.345171376
Namibia,9.451726515,4.874919876,5.005595181,6.721997773,5.600925023,5.349526128,3.395660655,6.727795407
New Caledonia,,,2.428996938,1.749672346,1.27761319,0.178851061,0.570508141,0.578317436
Niger,0.582906591,0.804073081,2.94238514,0.45508982,2.29723115,-0.93028726,-0.57609037,1.653889224
Nigeria,11.53767275,13.72020184,10.84002754,12.21778174,8.475827285,8.062485824,9.009387183,15.67534055
Nicaragua,3.687001605,5.455134259,8.082387981,7.193550533,7.135467853,6.035968618,3.997379967,3.523173176
Netherlands,1.18977687,1.275305696,2.341070178,2.455547653,2.506898527,0.97603508,0.600248147,0.316666667
Norway,2.197385869,2.418906395,1.284951588,0.696864111,2.120486204,2.041702867,2.171136654,3.55
Nepal,11.09482374,9.326504107,9.227075461,9.459809804,9.040163119,8.364154697,7.868908956,8.79034332
Nauru,,,,,,,,
New Zealand,2.115651106,2.30202386,4.027906674,1.059913184,1.134422664,1.227507506,0.292704628,0.646240284
OECD members,0.9293198,1.800525776,3.335540502,2.470610591,1.423422082,0.592255589,0.301034588,0.443258966
Oman,3.468819509,3.25657959,4.042188671,2.947734953,1.045528388,1.022343145,0.065290133,1.109208058
Other small states,3.131118284,3.163401412,4.8009371,4.039323561,3.257621352,2.12011311,1.548691582,1.575302229
Pakistan,13.64776506,13.88113926,11.91676947,9.682351861,7.692156119,7.189384028,2.529328173,3.765119164
Panama,2.409053167,3.491288675,5.8758025,5.698199403,4.027160534,2.630931154,0.132255449,0.739734025
Peru,2.936231536,1.528320597,3.369310953,3.655709068,2.806716509,3.244963042,3.549288049,3.592113241
Philippines,4.219030521,3.789836348,4.718417047,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801
Palau,1.438135383,1.442190174,4.674698795,3.614180479,3.354810042,4.191745486,0.949040644,-1.042305334
Papua New Guinea,6.918325326,6.013608936,4.44083401,4.537205082,4.96031746,5.222117202,5.995957781,6.673728814
Poland,3.795392425,2.580693703,4.239401496,3.560371517,0.991982606,0.053821313,-0.874125874,-0.664767331
Pre-demographic dividend,4.488292648,3.968970888,6.057858203,6.508556258,4.380358968,3.534368561,3.669900434,3.787226876
Puerto Rico,,,,,,,,
"Korea, Dem. People’s Rep.",,,,,,,,
Portugal,-0.835530022,1.402572899,3.653011004,2.773338541,0.274416667,-0.278153367,0.487938624,0.607397075
Paraguay,2.591946734,4.651162791,8.253968254,3.67591898,2.683857387,5.028827675,3.129002745,4.086822806
West Bank and Gaza,2.753934851,3.749157276,2.877243585,2.779087683,1.724399336,1.7329851,1.431611458,-0.219106605
Pacific island small states,5.311009546,2.102442434,5.140368484,2.733882769,1.605630546,1.451424524,0.648498211,0.842069084
Post-demographic dividend,0.839262247,2.123490942,3.329864062,2.485673529,1.408546292,0.906797949,0.368046842,0.607397075
French Polynesia,,,,,,,,
Qatar,-4.863278016,-2.425256752,1.138366235,2.315348534,3.214236565,3.351638736,1.610185208,2.872559911
Romania,5.587420043,6.091416686,5.789253288,3.334922677,3.984712355,1.068309877,-0.594156437,-1.544796668
Russian Federation,11.64732958,6.849392303,8.440464859,5.074743008,6.754668339,7.8201697,15.53439599,7.042437254
Rwanda,12.89483343,-0.249887635,3.080170692,10.27101823,5.92426868,2.354490528,2.528502842,7.17434302
South Asia,4.976824477,7.581529776,10.25024503,9.386127704,7.458089097,6.672416718,4.158255891,4.347030355
Saudi Arabia,5.057222761,5.33941733,5.826216374,2.866270299,3.511042098,2.241853488,1.222693186,2.053470768
Sudan,11.24854637,13.24539414,18.09226225,35.56524887,36.52114404,36.90664279,16.90945571,
Senegal,-2.248021479,1.228681197,3.403228298,1.418228712,0.710245487,-1.090255074,0.135211934,0.837284943
Singapore,0.596873455,2.823277186,5.247910208,4.575959852,2.358601146,1.024982528,-0.522752485,-0.532286132
Solomon Islands,7.092717169,1.051481633,7.34270706,5.912006025,5.391363886,5.165902379,-0.574469286,0.512485626
Sierra Leone,7.469166667,7.193536131,6.788194444,6.588359616,5.51827137,4.645462047,6.693679279,10.88328586
El Salvador,1.055950297,1.179335769,5.128923767,1.729734816,0.757669185,1.141344675,-0.731384487,0.604049087
San Marino,2.19959237,2.585418156,2.899795843,2.827332242,1.604392981,1.112963034,0.145686073,0.57394802
Somalia,,,,,,,,
Serbia,8.116950922,6.142553602,11.13739763,7.330385896,7.694263629,2.082447939,1.39235822,1.122313974
Sub-Saharan Africa (excluding high income),7.264562145,4.020045929,5.366210929,6.582129662,4.937124329,4.405352342,3.669900434,5.494104638
South Sudan,5.006273615,1.169621803,47.30529125,45.07825706,-0.039381326,1.655223598,52.81465207,379.8480206
Sub-Saharan Africa,7.322000749,3.976552885,5.046102263,6.588359616,4.905208757,4.403802717,3.855922271,5.430519661
Small states,2.8739069,3.282026862,4.891562429,3.693914995,2.064664361,1.769503221,0.968993459,1.129801633
Sao Tome and Principe,16.9574758,13.34005235,14.32716676,10.63793534,8.105832709,6.99849944,5.24587835,5.430519661
Suriname,-0.162987837,6.944787295,17.71177964,5.006863194,1.923436041,3.383412727,6.867599244,55.48443775
Slovak Republic,1.615104641,0.957018133,3.919285991,3.606102635,1.40047369,-0.07616533,-0.325219777,-0.520010196
Slovenia,0.839262247,1.801170221,1.802851719,2.59741386,1.769200859,0.199343827,-0.525552286,-0.054999542
Sweden,-0.494460544,1.157988027,2.961150738,0.888377507,-0.04429297,-0.179638494,-0.046784745,0.984269245
Eswatini,7.448234234,4.509236918,6.107427146,8.939609185,5.620915763,5.680229928,4.952356149,7.847274591
Sint Maarten (Dutch part),5.957636888,1.338576217,4.584754357,4.015184211,2.528647885,1.886754663,0.330027165,0.111682656
Seychelles,31.75444077,-2.404638751,2.559267722,7.110370623,4.338938483,1.385834546,4.041944107,-1.015481917
Syrian Arab Republic,2.920897118,4.397413832,4.753163889,36.70229534,,,,
Turks and Caicos Islands,,,,,,,,
Chad,9.952422907,-2.077865746,-3.704295704,14.01820542,0.145451048,1.680835875,3.669900434,
East Asia & Pacific (IDA & IBRD countries),3.694280137,3.611905993,5.277095359,3.222855307,2.924263783,3.370406974,1.085155352,1.59691347
Europe & Central Asia (IDA & IBRD countries),3.466723732,6.142553602,7.650008079,3.334922677,2.784383898,2.082447939,3.731691193,1.122313974
Togo,3.71360592,1.445945174,3.563514729,2.577181741,1.825394759,0.190875076,2.585003908,1.285448471
Thailand,-0.845716092,3.247588424,3.808790581,3.014899503,2.184886185,1.895141819,-0.900424963,0.188149704
Tajikistan,6.448234814,6.419565091,12.43154904,5.83116601,5.009646453,6.104427651,5.714559496,6.004580823
Turkmenistan,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2.764089135,3.796443338,5.482044481,4.144572841,3.306553603,3.553849174,3.143416962,2.77316004
Timor-Leste,0.669681186,6.765976802,13.49984024,11.80030967,11.08490851,0.726275016,0.552796026,-1.338538762
Middle East & North Africa (IDA & IBRD countries),2.690398687,3.966779089,5.020099832,6.335285446,4.821019563,2.907929312,1.557907113,2.738412087
Tonga,1.426859721,3.534912392,6.27075303,1.147538537,0.775629322,2.510876333,-1.05399832,2.578155152
South Asia (IDA & IBRD),4.976824477,7.581529776,10.25024503,9.386127704,7.458089097,6.672416718,4.158255891,4.347030355
Sub-Saharan Africa (IDA & IBRD countries),7.322000749,3.976552885,5.046102263,6.588359616,4.905208757,4.403802717,3.855922271,5.430519661
Trinidad and Tobago,6.978087253,10.54920032,5.107132893,9.260281371,5.199817405,5.684418146,4.661215981,3.070667425
Tunisia,3.664903306,3.341776432,3.544029353,5.138117098,5.798544619,4.937735303,4.857182282,3.711014607
Turkey,6.250976631,8.566444206,6.471879671,8.891569965,7.493090305,8.854572714,7.670853648,7.775134153
Tuvalu,,,,,,,,
Tanzania,12.14222787,6.200155956,12.69096947,16.00109385,7.870723646,6.13161433,5.58816953,5.174766293
